name_li,latitude_li,longitude_li,key,name_bm,latitude_bm,longitude_bm,dock_bikes,Google Maps,bmdistance(m)
Auditorio Carmen Laforet (Ciudad Lineal),40.47967249471556,-3.6657243894913565,0,"494 - Arturo Soria, 332",40.480694,-3.666529,3,"https://www.google.com/maps?q=40.480694,-3.666529",144.8663518663958
Auditorio al aire libre. Parque del Calero,40.436300129244366,-3.65040832835415,0,229 - C.D. Concepción,40.4369378,-3.6486508,10,"https://www.google.com/maps?q=40.4369378,-3.6486508",208.50043313550344
Auditorio y sala de exposiciones Paco de Lucía (Latina),40.38493929920335,-3.7641963952601154,0,"338 - Calle Guareña, 13",40.38486816,-3.76466897,0,"https://www.google.com/maps?q=40.38486816,-3.76466897",53.31198287890725
Centro Cultural - Centro Socio Cultural Villa de Barajas,40.47324881250678,-3.5784908616003723,0,"567 - Plaza Mayor de Barajas, 24",40.4733252,-3.5776537,17,"https://www.google.com/maps?q=40.4733252,-3.5776537",93.76081402399414
Centro Cultural Agustín Díaz (Moncloa - Aravaca),40.42754184442827,-3.7324112111503682,0,"314 - Avenida de Valladolid, 47G",40.42966,-3.73068,27,"https://www.google.com/maps?q=40.42966,-3.73068",304.7882863016668
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),40.49082275610172,-3.7216054330053647,0,"591 - Av.Ventisquero de la Condesa, 39",40.49108225,-3.71622921,0,"https://www.google.com/maps?q=40.49108225,-3.71622921",600.4365746440824
Centro Cultural Antonio Machado (San Blas - Canillejas),40.420280457570335,-3.621730741880216,0,"504 - Calle de San Roman del Valle, 20",40.42309928573645,-3.623466935545257,17,"https://www.google.com/maps?q=40.42309928573645,-3.623466935545257",368.7388691183034
Centro Cultural Auditorio Parque El Paraíso (San Blas - Canillejas),40.42997621103139,-3.6221773579444596,0,"505 - Calle Castillo de Ucles, 37",40.43145558,-3.62306578,11,"https://www.google.com/maps?q=40.43145558,-3.62306578",192.1991539418673
Centro Cultural Buenavista (Salamanca),40.43200001609297,-3.670904677285496,0,192 - Avenida de los Toreros,40.431826464468664,-3.6714677183853106,3,"https://www.google.com/maps?q=40.431826464468664,-3.6714677183853106",65.71061660267094
Centro Cultural Buero Vallejo (San Blas - Canillejas),40.44477474902185,-3.6129105844633775,0,"499 - Calle Alcala, 590",40.4466561,-3.6121996,9,"https://www.google.com/maps?q=40.4466561,-3.6121996",223.94303631095244
Centro Cultural Carril del Conde (Hortaleza),40.46088953531134,-3.6544210187969433,0,"523 - Calle de la Carretera de Canillas, 40",40.4628701,-3.65089253,7,"https://www.google.com/maps?q=40.4628701,-3.65089253",451.1339214515594
Centro Cultural Casa de Vacas (Retiro),40.41906571939961,-3.684053112760816,0,102 - Velázquez,40.4211845,-3.6842317,0,"https://www.google.com/maps?q=40.4211845,-3.6842317",236.70138636559128
Centro Cultural Casa del Reloj (Arganzuela),40.39466755008527,-3.700396761468562,0,"267 - Paseo de la Chopera, 33",40.39500000000003,-3.7003996647238746,23,"https://www.google.com/maps?q=40.39500000000003,-3.7003996647238746",37.00957229021269
Centro Cultural Ciudad Pegaso (San Blas - Canillejas),40.44844757572015,-3.598099871155595,0,"507 - Calle Seis, sn",40.44845033,-3.59650295,22,"https://www.google.com/maps?q=40.44845033,-3.59650295",178.11966515005392
Centro Cultural Clara del Rey - Museo ABC (Centro),40.42741340671151,-3.7095381101739444,0,13 - Conde Duque,40.4273,-3.7105,4,"https://www.google.com/maps?q=40.4273,-3.7105",108.0420508056263
Centro Cultural Dotacional Integrado Arganzuela,40.40242416544921,-3.6954440062549017,0,120 - Palos de la Frontera,40.403090451430614,-3.6948251018524214,16,"https://www.google.com/maps?q=40.403090451430614,-3.6948251018524214",101.32992426920136
Centro Cultural Eduardo Úrculo (Tetuán),40.46900764611639,-3.697595691925329,0,"296 - Calle de Costa Verde, 24",40.469477,-3.696862,7,"https://www.google.com/maps?q=40.469477,-3.696862",97.09999329780284
Centro Cultural El Plantío (Moncloa - Aravaca),40.47096731070447,-3.8245164150407103,0,"315 - Calle de Caroli, 1",40.45862,-3.784627,4,"https://www.google.com/maps?q=40.45862,-3.784627",4657.703974184973
Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas),40.37381624358889,-3.6599325731670977,0,"419 - Calle Puerto de Balbaran, 10",40.3762374,-3.655868,23,"https://www.google.com/maps?q=40.3762374,-3.655868",527.4508832383683
Centro Cultural Emilia Pardo Bazán (Salamanca),40.42585800515975,-3.689601594290468,0,93 - Plaza de Colón,40.42575853342561,-3.6893361690338167,2,"https://www.google.com/maps?q=40.42575853342561,-3.6893361690338167",31.611232152363048
Centro Cultural Federico Chueca (Hortaleza),40.46498334634005,-3.650568266584691,0,"523 - Calle de la Carretera de Canillas, 40",40.4628701,-3.65089253,7,"https://www.google.com/maps?q=40.4628701,-3.65089253",238.00994595274202
Centro Cultural Fernando Lázaro Carreter (Carabanchel),40.39164455403764,-3.717137582860074,0,"357 - Calle del Sorbe , 20",40.3898701,-3.71320917,24,"https://www.google.com/maps?q=40.3898701,-3.71320917",480.6912049040423
Centro Cultural Fernando de los Ríos (Latina),40.39552931214334,-3.7562667464373223,0,"331 - Calle Valmojado, 53",40.39649629,-3.75757186,15,"https://www.google.com/maps?q=40.39649629,-3.75757186",181.06833174487605
Centro Cultural Galileo (Chamberí),40.433719454283505,-3.7104468992841753,0,127 - Fernando el Católico,40.4338516,-3.708439,6,"https://www.google.com/maps?q=40.4338516,-3.708439",224.47011990353843
Centro Cultural Gloria Fuertes (Barajas),40.4606308732073,-3.59366944150524,0,"558 - Bahía de Cádiz, 2",40.461137,-3.593712,17,"https://www.google.com/maps?q=40.461137,-3.593712",56.54139285824011
Centro Cultural Hortaleza,40.476859845869534,-3.6420353342333227,0,"531 - Calle de Santa Virgilia, 6",40.4768447,-3.6447007,6,"https://www.google.com/maps?q=40.4768447,-3.6447007",297.3128253317227
Centro Cultural Huerta de la Salud (Hortaleza),40.47484735634347,-3.645543866498554,0,"531 - Calle de Santa Virgilia, 6",40.4768447,-3.6447007,6,"https://www.google.com/maps?q=40.4768447,-3.6447007",241.41696160699288
Centro Cultural José Luis López Vázquez (San Blas - Canillejas),40.446826729909155,-3.5727382893523254,0,"563 - Soto Hidalgo, 2",40.4606465,-3.5820745,17,"https://www.google.com/maps?q=40.4606465,-3.5820745",1857.7070771438155
Centro Cultural José Luis Sampedro (Latina),40.40159394334669,-3.749110841406562,0,"328 - Calle Cebreros, 97",40.4029976,-3.752080099999999,6,"https://www.google.com/maps?q=40.4029976,-3.752080099999999",366.25019003140085
Centro Cultural Juan Genovés (Moncloa - Aravaca),40.45867841791346,-3.7863499043313373,0,"315 - Calle de Caroli, 1",40.45862,-3.784627,4,"https://www.google.com/maps?q=40.45862,-3.784627",192.32217360571116
Centro Cultural Juan Gris (Moncloa - Aravaca),40.45786266126019,-3.712247606973967,0,308 - María Auxiliadora 1,40.45772941,-3.71346147,0,"https://www.google.com/maps?q=40.45772941,-3.71346147",136.22086228926898
Centro Cultural Julio Cortázar (Moncloa - Aravaca),40.46678417843686,-3.7195598670929315,0,"317 - Calle Antonio Machado, 30",40.46826955,-3.71921712,11,"https://www.google.com/maps?q=40.46826955,-3.71921712",169.71388166035428
Centro Cultural La Vaguada (Fuencarral - El Pardo),40.47900813206291,-3.709138377702435,0,"572 - Avenida Monforte de Lemos, 123",40.47810429,-3.70997335,15,"https://www.google.com/maps?q=40.47810429,-3.70997335",137.1101800680893
Centro Cultural Las Californias (Retiro),40.397021560779024,-3.6738766514153163,0,180 - Méndez Álvaro,40.3940423,-3.67589,10,"https://www.google.com/maps?q=40.3940423,-3.67589",400.5381196205164
Centro Cultural Lavapiés (Centro),40.40967898937472,-3.7015569791252063,0,43 - Jesús y María,40.4100387,-3.702471,2,"https://www.google.com/maps?q=40.4100387,-3.702471",109.5421888083003
Centro Cultural Lope de Vega (Puente de Vallecas),40.386296991431074,-3.671858416387963,0,"422 - Travesia de Palomeras, 7",40.39017003,-3.6705179,23,"https://www.google.com/maps?q=40.39017003,-3.6705179",456.3394461147202
Centro Cultural Los Rosales (Villaverde),40.35074797433515,-3.6773064421969233,0,"403 - Auñón, 16",40.3503351,-3.6776146,8,"https://www.google.com/maps?q=40.3503351,-3.6776146",57.393669852072485
Centro Cultural Mercado de Ibiza (Retiro),40.41817872037522,-3.677376337125393,0,181 - Retiro-Ibiza,40.41816932665331,-3.676443540475469,1,"https://www.google.com/maps?q=40.41816932665331,-3.676443540475469",104.05789030617622
